news_cluster_id,canonical_publication_time,year,canonical_source,canonical_title,cleaned_lead,decision,relevance_score,score_band,evidence_type,manual_relevant,review_notes
news_4fff582049f6667fbf04,2018-12-24 11:00:21+00:00,2018,Bloomberg,Mark Zuckerberg Uses Blockchain For His Own Ends,(Bloomberg Opinion) -- The idea that a company as powerful and autocratic as Facebook Inc. would ever dive into crypto-currencies has always seemed a bit like the Death Star deciding to throw a staff Christmas party. Whether it’s the Bitcoin model itself (Wild West capitalism where nobody’s in charge) or the more corporate-friendly efforts to exploit the blockchain approach (distributed databases across networks within a business or industry) it’s been hard to see how a billionaire like Mark Zuc,removed,2,threshold_2,content_single,,
news_54f885a82833c868cc92,2018-02-06 15:28:00+00:00,2018,Motley Fool,It's Officially a Stock Market Correction -- Here's What You Need to Do,"As of Tuesday, Feb. 6, the stock market briefly dipped into a correction, which is generally defined as a drop of 10% or more from the highs. Although the speed of this correction may seem scary, it's important to take a step back, assess the situation, and come up with a game plan. This may feel like a stock market crash, simply because of the speed with which the market has dropped. After all, 1000+ point single-day drops in the Dow Jones Industrial Average can be quite scary. Image source: Ge",removed,0,below_threshold,no_bitcoin_evidence,,
news_9614606d026e65416043,2018-01-06 20:16:00+00:00,2018,Motley Fool,This Grim Chart Shows Why Ford's Fusion Is in Danger,"Ford Motor Company(NYSE: F)said its 2017 U.S. sales fell 1.1% from a year ago despite strong results for its trucks and SUVs, because of a big decline in demand for sedans -- particularly its once-popular Fusion. Ford's U.S. sales in December were up about 1% from a year ago on strong truck demand. That beat the average 1.8% decline expected by analysts polled by Bloomberg. Ford's December gain was also ahead of results from rivalsGeneral Motors(NYSE: GM),Fiat Chrysler Automobiles(NYSE: FCAU), a",removed,0,below_threshold,no_bitcoin_evidence,,
news_9dce1b364b1f80f9cbf7,2018-01-21 13:25:00+00:00,2018,Motley Fool,2 Great Stocks You Can Buy on Sale,"As the market continues to move higher, finding great deals is only getting harder. Don't give up on searching for value, though. Even in an expensive market, good stocks sometimes go on sale. When they do, you need to pounce on them quickly. Otherwise, you'll miss out. CarmakerGeneral Motors(NYSE: GM)and apparel manufacturerHanesbrands(NYSE: HBI)stand out to me as two solid stocks trading at discounted valuations. I own both stocks, so I'm putting my money where my mouth is. Here's why GM and H",removed,0,below_threshold,no_bitcoin_evidence,,
news_2715b10cf6ec6a3668af,2018-02-01 15:08:00+00:00,2018,Motley Fool,Royal Dutch Shell Couldn't Have Asked for a Better Way to End 2017,"If there were any lingering worries about the oil downturn's impact onRoyal Dutch Shell's(NYSE: RDS-A)(NYSE: RDS-B)future ability to generate returns for investors, this past quarter put a lot of those concerns to bed. The company's earnings continue to post much-improved results, and its cash flows are robust enough that it can start doing things with excess cash. Shell ended 2017 on a relatively high note and marked another milestone in its post-BG Group acquisition strategy. Here's a rundown ",removed,0,below_threshold,no_bitcoin_evidence,,
news_ed5c2549ae352b31e1f6,2019-06-22 16:45:33+00:00,2019,CCN,21 Brutally Honest Opinions About Facebook’s Libra Cryptocurrency,"Facebook cryptocurrency Libra has taken the world by storm. We rounded up 21 opinions from crypto, governments, and financial analysts. | Source: AP Photo/Andrew Harnik (i), Shutterstock (ii). Image Edited by CCN. By CCN Markets : Maybe you heard the news? Facebook is launching a cryptocurrency called Libra . Cue the endless tweet-storms and Medium posts and think-pieces! Here are some of the most important comments from regulators, blockchain experts, finance analysts, regulators, and Facebook ",removed,0,below_threshold,content_repeated,,
news_6581844f240fc493a6df,2019-03-26 18:00:14+00:00,2019,Coin Rivet,What are Weiss cryptocurrency ratings?,"In 1971, Weiss Ratings began advising consumers on stocks, insurance companies, and banks. Each were given a rating to guide customers on which ones were the best and which ones needed improvement. This service now extends to cryptocurrencies, and with the defensive nature of cryptocurrency communities, not all of its ratings have gone down too well. To find out its ratings, you are going to have to pay – $936 to be precise. Let’s find out more about Weiss cryptocurrency ratings. Weiss cryptocur",removed,1,below_threshold,content_repeated,,
news_a568f15f0aa8b1bb71ed,2019-09-18 06:00:15+00:00,2019,CoinDesk,European Space Agency Backs Blockchain Satellite Project,"Blockchain startup SpaceChain has won a 60,000 euro grant from the European Space Agency (ESA) to investigate use-cases for their satellite-based blockchain wallet system. Announced today by the company, the grant by the ESA’s “kick-start activities” fund bolsters SpaceChain’s efforts to put a hyper-secure, multi-signature, distributed satellite network in orbit. The company has already flight-tested blockchain nodes in space. The tech uses a three signature system, with two ground-based signatu",removed,0,below_threshold,content_repeated,,
news_d4eefff5b1a075c1b23a,2019-06-11 10:02:00+00:00,2019,Cointelegraph,"Philippines’ Central Bank Will Continue to Closely Monitor Crypto, Citing Terror Financing","The governor of thePhilippines’central bank, Benjamin Diokno, has warned against the potential use of cryptocurrencies for terrorism financing and underscored that the Bangko Sentral ng Pilipinas (BSP) will continue to closely monitor their use in the country. The news wasreportedby local English language newspaper The Philippine Star on June 10. In addition to Diokno’s remarks, BSP Deputy Governor Diwa Guinigundo reportedly provided further insights into the institution’s stance toward cryptocu",removed,0,below_threshold,content_repeated,,
news_a1f5b2bff7f78fdcd890,2019-01-17 16:35:28+00:00,2019,FX Empire,AUD/USD Price Forecast  Australian dollar finds support and major EMA,"The Australian dollar initially pulled back a bit during the trading session on Thursday, dipping slightly below the 50 day EMA. However, we bounced slightly, and I think this is indicative of what we are going to see, a slow and gentle grind lower. This isnt necessarily an indictment on the Australian dollar rather than an indictment on the US/China trade relations which seem to be going nowhere. With that in mind, it will continue to affect the Australian economy as they are such a valued tra",removed,0,below_threshold,content_single,,
news_8d21b53cf80d8a182f08,2019-01-20 13:31:00+00:00,2019,Cointelegraph,Proposed License Requirements End Anonymous Crypto Selling and Buying in the Netherlands,"Pete Hoekstra, theNetherlands’ Minister of Finance, has received official advice that a licensing system should be introduced forcryptoservices, Dutch media outlet Nederlandse Omroep Stichting (NOS)reportson Jan. 18. Hoekstra reportedly requested advice about cryptocurrencies from the Netherlands’ Authority for the Financial Markets and the localcentral bank, De Nederlandsche Bank, at the beginning of last year. The minister announced that he started working in accordance with the advice immedia",removed,0,below_threshold,content_single,,
news_34c0bd57a26a7d67c56b,2019-09-13 14:45:12+00:00,2019,InvestorPlace,Your Savings Are at Risk in the Cashless World That’s Coming,"They’re coming for your money – every last cent… Source: Shutterstock That may sound like a weird, tinfoil-hat type of thing to say. But it’s what’s at stake in the War on Cash. InvestorPlace - Stock Market News, Stock Advice & Trading Tips As we’ve been showing you, governments are planning to seize control of your wealth by getting rid of banknotes and coins. That means no more Ben Franklins. No more nickels and dimes. Nothing but electronic 1s and 0s in a government database. • 10 Battered Te",removed,0,below_threshold,content_single,,
news_88ac48eb50ef2a886dca,2019-09-23 12:27:35+00:00,2019,Benzinga,Caesars Entertainment To Sell Rio Casino Business For $516.3M,"Caesars Entertainment Corporation(NASDAQ:CZR) has signed an agreement to sell the Rio All-Suite Hotel & Casino to a company controlled by a principal of Imperial Companies for $516.3 million. The transaction is expected to close in the fourth quarter. Caesars says it will continue to operate the property for a minimum of two years and pay annualized rent of $45 million. The buyer will have the option to pay Caesars $7 million to extend the lease under similar terms for a third year. ""This deal a",removed,0,below_threshold,content_single,,
news_47fc70c8f326e9f0119b,2019-10-21 10:10:35+00:00,2019,Decrypt,"Binance lists new trading pairs for BUSD, including XRP and ETH","Binance todayannouncednew pairings for BUSD, its dollar-pegged stablecoin. BUSD can now be traded forXRP,Litecoin,Ethereum, Ethereum Classic, Bitcoin Cash ABC, and Chainlink. BUSDlaunched last month as part of a partnership with Paxos, which is best known for creating its own stablecoin. In its agreement with Binance, Paxos issues the coin and looks after the reserves of dollars. BUSD can also also be traded for BNB and Bitcoin. BUSD has regulatory approval by the New York State Department of Fi",removed,2,threshold_2,content_single,,
news_f82ee2c0c48dd2c1ca74,2019-05-08 15:42:36+00:00,2019,Bitcoin Magazine,"Israeli Police, FBI Apprehend Owners of Darknet Site Deep Dot Web","Two Israeli citizens have been apprehended by law enforcement based on suspicions that they developed and ran a darknet marketplace for dealing illegal goods. The Israeli policeannouncedvia Twitter that it has collaborated with the United States Federal Bureau of Investigation (FBI) to arrest two locals who they believe managed the dark web marketplace, which used bitcoin to facilitate trades. Local reportsidentifiedthe marketplace in question as Deep Dot Web. The site is reported to be a source",removed,2,threshold_2,content_single,,
news_41d0b236b3f6c3f773a0,2019-01-01 12:44:09+00:00,2019,FX Empire,2018 – 5 Most Influential People of the Year,"It’s been quite a year, with Bitcoin going from close to $20,000 to close to $3,000, the U.S equity markets unraveling to move into the bearish territory, driven by an unprecedented number of events and shifts in both the economic and political landscape through the year. The selection of the 5 most influential comes amidst heightened market turmoil and a U.S government that has shut down over Trump’s much talked about Wall Street and an ongoing trade war between the U.S and China. Donald Trump:",removed,2,threshold_2,content_single,,
news_3b4370eb82909555132e,2019-03-25 09:00:09+00:00,2019,Coin Rivet,Blockchain startup Travala launches crowdfunding campaign,"Blockchain powered travel venture, Travala , has kicked off a crowdfunding campaign, further info on which can be found here . At the time of writing, it had raised £186,630 from 174 investors. Travala’s platform is currently in beta and provides access to 550,000+ hotels in 210 countries. Formerly known as Concierge, it wrapped up an initial coin offering in April last year, raising £2 million. The company has integrated with Coingate to accept 40+ cryptocurrencies, including Bitcoin, Ethereum,",removed,2,threshold_2,content_single,,
news_bb46b9ee2b0dbd220879,2019-02-24 18:48:58+00:00,2019,FX Empire,"The Week Ahead – It’s Brexit, Powell, Trump, Trade and Stats to Drive the Markets","The week kicks off with December housing figures and February consumer confidence number on Tuesday. December factory orders and pending home sales are due out on Wednesday, ahead of 4thquarter GDP numbers and the weekly jobless claims figures. A particularly busy Friday has December’s core PCE price index and personal spending figures due out, ahead of manufacturing PMI numbers and finalized consumer sentiment figures for February. Outside of the stats, FED Chair Powell’s testimony Tuesday and ",removed,0,below_threshold,no_bitcoin_evidence,,
news_892019843c59c1359ba2,2019-05-28 13:01:50+00:00,2019,FX Empire,"Futures Flat, Trade Tensions In Focus, China Won’t Back Down","The U.S. futures are flat in early Monday trading. Trade tensions remain in focus albeit the messages remain mixed. President Donald Trump says the U.S. isn’t ready to make a deal with China but also that a deal will come soon. China, through a media mouthpiece, has suggested it won’t back down to U.S. demands. The impasse is seemingly unsolvable and likely to last far longer than first anticipated. Meanwhile, the U.S. is making moves to conclude trade deals with just about every one of its part",removed,0,below_threshold,no_bitcoin_evidence,,
news_e05a7d9c6d91cbe04d21,2019-09-04 14:59:26+00:00,2019,ETF Trends,Check Out This Alternatively-Weighted Smart Beta ETF,"This article was originally published onETFTrends.com. TheWisdomTree Earnings 500 Fund (EPS) , a smart beta alternative to cap-weighted domestic large-cap equity strategies, could be an alternatively-weighted strategy for investors to consider when markets steady and volatility abates. EPS targets an earnings-weighted index that screen for positive cumulative earnings over their most recent four fiscal quarter period and assigns weights to components to reflect the proportionate share of the agg",removed,0,below_threshold,no_bitcoin_evidence,,
news_9dd0ba7eedcf6b0f3d2d,2019-05-18 02:39:19+00:00,2019,FX Empire,"Bitcoin Cash  ABC, Litecoin and Ripple Daily Analysis  18/05/19","Bitcoin Cash  ABC  Down Again Bitcoin Cash ABC slid by 7.77% on Friday. Following on from a 1.18% fall from Thursday, Bitcoin Cash ABC ended the day at $366.9. A particularly bearish start to the day saw Bitcoin Cash ABC slide from an intraday high $412 to an early intraday low $330. Bitcoin Cash ABC fell through the first major support level at $368.07 and second major support level at $337.78. Of greater significance was a side through the 23.6% FIB of $371. Pinned by back the 23.6% FIB thro",removed,0,below_threshold,no_bitcoin_evidence,,
news_63e55f4cde45a33bc631,2020-01-22 16:00:00+00:00,2020,CoinDesk,Jack Dorsey’s Square Wins Patent for Fiat-to-Crypto Payments Network,"Payments provider Square has won a U.S. patent for a new network that enables seamless crypto-to-fiat transactions. Granted Tuesdayby the U.S. Patent and Trademark Office, the patent details a payments system allowing users holding different asset types to transact with one another in real-time. “The present technology permits a first party to pay in any currency, while permitting the second party to be paid in any currency,” reads Square’s application. The network itself can automatically excha",removed,1,below_threshold,content_repeated,,
news_b22194ece1e35b8feee9,2020-07-24 14:00:50+00:00,2020,CoinDesk,Banks Won’t Rush to Hold Crypto – But OCC’s Regulatory Approval Makes It Harder to Ignore,"The Office of the Comptroller of the Currency (OCC), a federal banking regulator in the U.S., is rapidly expanding crypto awareness on Capitol Hill. The OCC published an interpretive letter Wednesday announcing that in its view, nationally chartered banks are able to provide custody services for cryptocurrencies, a move that the industry widely praised as one that could help mainstream adoption of crypto, even though it’s unclear as to whether banks will immediately act on the regulatory clarifi",removed,0,below_threshold,content_repeated,,
news_82c0031d1c3c4ef8ba55,2020-10-05 12:47:39+00:00,2020,CoinDesk,"First Mover: Day in the Life of a Yield Farmer Means Part-Time Gig, Full-Time Risk","One is a Grammy Award-winning musician with lots of spare time. Another is a software engineer with nowhere to go during the pandemic. There’s also an editor for a data site and a fund manager who invests in digital assets. What these people have in common is an obscure side gig known as “yield farming,” a type of cryptocurrency trading and investing that didn’t really even exist until 2020. Yield farming is producing fixed income-like returns that can, at least for brief stretches, provide annu",removed,0,below_threshold,content_repeated,,
news_66eaa4e705bbf88256ed,2020-06-08 13:30:12+00:00,2020,Benzinga,5 Crypto Executive Predictions On Where The Economy Is Headed,"In 2020, the world has embraced uncertainty as the new norm. Market volatility has reached record levels, leading to a surge in trading volume and opportunities for value investors. Industries such as airlines, cruise lines, and rental cars have taken a massive hit as air travel remainsdown 90%and lockdown orders prevent travel. Stocks such asNorweigan Cruise Lines(NYSE:NCLH),Spirit Airlines(NYSE:SAVE), andCarnival Corporation(NYSE:CCL) have all experienced recent upward swings as coronavirus co",removed,0,below_threshold,content_repeated,,
news_eb005f23786b6eb0483e,2020-06-09 15:50:10+00:00,2020,Engadget,The Winklevoss twins are making a movie about the Winklevoss twins,"David Fincher’s movieThe Social Networkcommitted the origins ofFacebookto film. A major part of that drama brought to light how Mark Zuckerberg allegedly stole an idea from the Winklevoss twins to create Facebook. According toDeadline, Cameron and Tyler Winklevoss have partnered with Stampede Ventures to create a film about their own adventures in cryptocurrency. An adaptation of Ben Mezrich’sBitcoin Billionaires, the film will detail how the twins invested inBitcoinpayment processor BitInstant,",removed,0,below_threshold,content_single,,
news_ecc26bb60cb435193d61,2020-07-07 18:31:30+00:00,2020,FX Empire,Gold Price Prediction – Prices Break Out To 8-Year Highs as US Yields Ease,"Gold prices broke out closing above the August 2012 highs putting short term support near the former highs at 1,791. This was a fresh 8-year high. Gold was buoyed as US treasury prices moved higher and yields continued to dip. The dollar whipsawed and closed unchanged but this failed to generate headwinds for the yellow metal. The Labor Department reported today that firings slowed considerably in May. Trade gold with FXTM Gold prices rallied on Tuesday breaking out to fresh 8-year highs. Prices",removed,0,below_threshold,content_single,,
news_4567b727dfcfafa3f1ee,2020-07-07 22:01:09+00:00,2020,CoinDesk,How Apple’s COVID Policy Limited a Public Health App in Taiwan,"The Taiwanese startupBitmark, which participated in a government-sponsored hackathon inMay, was unable to promote its blockchain solution due to Apple’spandemic moderation policy. “We were trying to essentially build a weather forecast but for public health,” said Bitmark CEO Sean Moss-Pultz. “It allowed people to volunteer their symptoms and what they are trying to do to get better, and connect that to public data from public health offices.” Precisely because the World Health Organizationexclu",removed,0,below_threshold,content_single,,
news_05a4b6b025635781373b,2020-07-24 12:05:55+00:00,2020,Engadget,Garmin services go offline following suspected ransomware attack,"Garminis experiencing a widespread outage affecting its website, apps, Connect data-syncing platform and other services, the company has announced on Twitter. The issue has even affected its call centers, preventing the company from receiving any calls, emails or online messages. While the company says it’s working to resolve the issue, it didn’t reveal the reason behind the outage. According toZDNet, though, Garmin had to shut down everything for a few days to deal with the aftermath of a ranso",removed,0,below_threshold,content_single,,
